name,,,text,,,
FIETA_DOC,,,"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket.",,,
FIETA_DOC,,,@united Deep Vein thrombosis,,,
lindaSWC,,,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",,,
CellucorJulio,,,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6,,,
RissaWissa,,,"Hey @united why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier",,,
ajpape,,,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail,,,
Meyer47,,,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.,,,
DJPartyMarty,,,@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight,,,
Darquenloveli,,,“@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN” I was finally able to secure my seat. Thx,,,
paula1231970,,,@united what time does check in open for flight no UA80 from Manchester to Newark today ?,,,
alikat9220,,,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed.",,,
fortytoo,,,@united DM sent,,,
macefaceeeee,,,@united yea get me to phoenix already. Delays all day with you people. It's bullshit.,,,
DaniOnTheFritz,,,"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights.",,,
drewziIIa,,,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)",,,
petergau,,,@united that's unfortunate. The @Tumitravel was an xmas gift and it looks like a razor ripped right through the front pocket in the picture,,,
tomcrabtree,,,@united But thanks for asking,,,
tomcrabtree,,,@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.,,,
ColtonWoytas,,,@united Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight.,,,
FIETA_DOC,,,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B,,,
KeenanPam,,,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.",,,
rholbrook,,,"@united Follow me back, please, and I'll happily DM you the link because I'd rather not share my travel plans publicly.",,,
CaseyWoodTV,,,@united you too!,,,
PhilFromChico,,,@united is my favorite airline.,,,
kbleggett,,,@united seriously #fail on making strangers share a room,,,
zach_wardroup,,,@united @luke_mcintosh68 nah you wouldn't,,,
michaelsalinger,,,@united we needed them here asap. Will they make it on today's flight?,,,
Tdrag97,,,@united agent split up my reservation? Now can't Cancelled Flight and refund credit for 2wks? Why,,,
Siv,,,@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,,,
xRaeCatherine,,,@united I sent the message. Let me know ASAP.,,,
kbleggett,,,@united why would they make me share a room?,,,
fortytoo,,,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway",,,
MelanieSpring,,,@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,,,
kbleggett,,,@united we're still waiting to find out your rep is working hard - most upset about having to wait to tomorrow pm to get to mammoth,,,
fortytoo,,,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund",,,
CaseyWoodTV,,,"@united i understand, thanks",,,
throthra,,,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please.",,,
DJPartyMarty,,,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United,,,
Darquenloveli,,,@united it's highly unprofessional for you to overbook a flight by 12 seats &amp;feel that I should rearrange my schedule for your mismanagement,,,
throthra,,,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'",,,
luke_mcintosh68,,,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe,,,
CaseyWoodTV,,,"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like",,,
fortytoo,,,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city,,,
michaelsalinger,,,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags.",,,
wordstern,,,"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy",,,
CharlieGMoney,,,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?,,,
sacsmitty,,,"@united My post was just more of disappointment.  I'm a frequent United flyer, it was a simple ??.  1 bad apple doesn't spoil the bunch.",,,
Meyer47,,,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM,,,
The5y5Adm1n,,,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!,,,
The5y5Adm1n,,,@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.,,,
Gouwerijn,,,"@united question:are there onboad 110 volt outlets in all planes? If so, where?",,,
oduric,,,@united Your website deserves a new design. #html5 FTW!,,,
kbleggett,,,@united thanks for effing up our holidays - we're missing a full day of skiing due to your baggage team's incompetence at @FlyYOW,,,
xRaeCatherine,,,@united Twitter isn't letting me DM you..,,,
BinyGlancz,,,@united I hope so too,,,
sacsmitty,,,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.,,,
ColtonWoytas,,,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.,,,
danmedwards,,,@united Not encouraged that I'll have my CPAP tonight.,,,
danmedwards,,,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery,,,
Kelley_Myers,,,@United an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.,,,
gregriv,,,@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,,,
Greg_Mueller,,,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",,,
michaelsalinger,,,"@united yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD.",,,
andreaSanger,,,@united where is my flight voucher?,,,
RyanMagovs,,,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable.",,,
handsomanderson,,,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.,,,
PreyingMantis02,,,@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.,,,
theBRYZness,,,@united UA938 ORD-LHR.  bags are being loaded 30min Late Flight. Frigid air into cabin! Plane feels like falling apart! Upgrade long haul fleet!,,,
hellojennizzle,,,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool",,,
cyberhosed,,,@united load balancing system apparently down #systemwide - major impact on all #united airlines flights. Was this a #cyberattack?,,,
CharlieGMoney,,,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.,,,
_mhertz,,,@united @AmericanAir spent hundreds to rectify the situation and you guys go quiet,,,
whs1973,,,@united UA276 sitting at EWR nearly an hour after sked.  Pilot says computers down but no clue when we will leave.  Can you help?,,,
_mhertz,,,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!,,,
family6travels,,,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,,,
throthra,,,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA",,,
ChrisMD123,,,@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f,,,
throthra,,,@united I received my luggage that also looked to be left in the snow when I arrived. I'm asking for all 50 people to be refunded.,,,
davidchernin,,,@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?,,,
AndyA3,,,@united was no one between the scan and inside the plane. I just asked the people in line around me where the plane was going,,,
kevinaom,,,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks",,,
kimberlytwaters,,,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.,,,
JeffPKirkland,,,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,,,
BethStuever,,,"@united Soooo, it's been 15 days and you've offered no response. So I assume poor treatment by gate agents is the norm now?",,,
AlexanderKrach,,,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.,,,
rholbrook,,,@united Calls to 800# resulted in 2hrs of hold time &amp; 2day wait to check suspect code share fare. Nothing investigated—my time wasted (2/2),,,
real_steve_ward,,,"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?",,,
thetonyblank,,,@united I appreciate your efforts getting me home!,,,
rholbrook,,,@united That's correct—I've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2),,,
CharlieGMoney,,,@united Today was not your finest. All could have been prevented by one gate agent advising 200 passengers.,,,
stopz,,,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?,,,
CharlieGMoney,,,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.,,,
gguilber,,,@united system failure again = bad trend.  Software projects are like flying an airplane; there's no such thing as an emergency takeoff.,,,
gguilber,,,@united lots of reports of system failures delaying flights over the last week. Currently sitting on the tarmac at OGG for over an hour.,,,
Zgrinch,,,"@united rebooting Chicago dispatch system, need @pivotalcf as I'm tired of sitting on planes",,,
thetonyblank,,,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",,,
rholbrook,,,"@united http://t.co/hj5kq82Chn, however, is completely under your control—the price was and still is displayed on http://t.co/hj5kq82Chn.",,,
AndyA3,,,@united the aircraft closest to gate was for the other flight and the one closest to our gate was going to Chicago.,,,
MommyPR,,,@united can you tell me how to file a claim for clothing that had to be purchased?,,,
AndyA3,,,@united comically on the return flight from ASE there were two United flights boarding at adjacent gates and not clear which plane to board,,,
MommyPR,,,@united GRK13575M is the file reference,,,
jlgustafson1,,,@united we would...how do I contact you to discuss? A few poor experiences with customer service but would give it a shot!,,,
theKos,,,"@united UA 746. Pacific Rim and Date Night cut out. Not constantly or randomly, but one spot, repeatably.",,,
MommyPR,,,@united Been trying since 1230 to file a report.,,,
jasonjernigan,,,@united I send an email about my bad experience and you send back a generic response.  Yet another reason why I'll never fly with you again.,,,
thelaurenmoore,,,@united My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?,,,
TravelShopVT,,,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee,,,
Nikki62878,,,"@united is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat",,,
j0rdanj0nes,,,@united thank you.,,,
momsgoodeats,,,Decisions Decisions @MandarinJourney @united:  We'd love for you to try our service. We offer status match too. http://t.co/xbQqqbRgVF ^KP”,,,
momsgoodeats,,,Need more info on that! @united: @momsgoodeats We have great amenity kits. PJ's not included. We status match AA. ^KP”,,,
rholbrook,,,"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",,,
DeputyBrans,,,@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,,,
xRaeCatherine,,,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",,,
mllovelace,,,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?,,,
Ted_Bray,,,@united wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime,,,
MommyPR,,,@united Dmed you. Thank you,,,
DickAltavista,,,@united thanks we'll be in touch!,,,
Clking_sf,,,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,,,
Bozboyku1,,,"@united 3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story",,,
rdowning76,,,"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?",,,
brando_787,,,@united like continental's chicken feat fairs,,,
j0rdanj0nes,,,@united can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?,,,
NonYourBusines9,,,@united I left my comment with customer care. Thanks for contacting me.,,,
Ted_Bray,,,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.,,,
Ted_Bray,,,"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!",,,
whitterbug,,,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”,,,
drewziIIa,,,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",,,
MommyPR,,,@united Can you please follow for a Dm on a missing bag?,,,
throthra,,,"@united to be clear on my luggage comment, I am referencing the photo attached. Flight 6232 to JAC http://t.co/PnBajfkmHG",,,
ginanotjenna,,,@united These are great fares!!!!!,,,
dannydibiase1,,,@united i left an item on the plane and have been calling non stop and no one has been answering can you please help,,,
frqnttraveler,,,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.,,,
throthra,,,@united what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?,,,
goodenufmother,,,@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother,,,
tpensari,,,@united where's my damn bag??,,,
tpensari,,,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!,,,
AlexanderKrach,,,@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.,,,
startupstella,,,@united how is Mexico not international from the us?,,,
tpensari,,,@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared,,,
gregriv,,,@united Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce can't help rebook. #friendlyskies?,,,
whitterbug,,,@united @Apollochplayers we just want to go home tonight - why did you Cancelled Flight the last leg of our reserv. w/out our permission??! #PH6RPS,,,
gregriv,,,@united  Stressed and rude agents. Overwhelmed by delyd flight LAS-DEN 1657. Yelling at several people. Not pretty. This is #friendlyskies??,,,
nbhdsheila,,,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.,,,
Apollochplayers,,,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,,,
goodenufmother,,,Just sent thank u RT @united: @goodenufmother Please DM your confirmation number if reFlight Booking Problems is needed. Thank you. ^EY,,,
hefeman,,,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.,,,
goodenufmother,,,@United so what’s the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere,,,
bartha75,,,"@united also, the mere fact that I have to go online to issue a statement vice calling and talking to some directly is one good example.",,,
jalvich,,,@united thank you. I flew into Newark from Vail/Eagle.,,,
bartha75,,,@united  i have a weekend of dealing with your company that would say otherwise.,,,
goodenufmother,,,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother,,,
jalvich,,,"@united the proper response: sorry for your wait, what flight # were you on so we can look into the issue. That's how @Delta would handle.",,,
tpensari,,,@united your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver,,,
lovejodierose,,,@united please upload the March on-demand entertainment listing on your website! ✈️,,,
CharlieGMoney,,,@united So you are inadequate by accident?,,,
RockinMikeW,,,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3,,,
MirandaAtx,,,@united Thank you for responding so quickly with a helpful tool! @dustyob,,,
tclarktweets,,,@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zCBJyo6lsN,,,
CengageTeamUP,,,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR,,,
brooklyn_dodger,,,@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd,,,
SmartBlondeSolu,,,@united ...and when that doesn't work...,,,
koploperfan1992,,,"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now",,,
frqnttraveler,,,@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.,,,
jalvich,,,"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags.",,,
MikeShor,,,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.,,,
SmartBlondeSolu,,,@united what's a girl gotta do to get a flight name change when SHE bought one for a mean ex boyfriend and needs a girl's trip stat?!,,,
family6travels,,,@united thank you. We are signed up for notifications. We shall watch and wait! ❄️❄️,,,
kabell87,,,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,,,
JawnRedcorn,,,@united I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.,,,
mattscottcrum,,,@united or @flysaa has lost my baggage… heard different things from different employees of @united. @flysaa has said nothing.,,,
ganteisan,,,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!",,,
family6travels,,,@united I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?,,,
BrittanyWolgast,,,@united I am signed up for notifications. This is the first trip I was not updated on. Not sure why this happened.,,,
ryanaround,,,@united Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.,,,
aliasboogie,,,@united that is not in line with your responses here. And now I'm waiting until tomorrow morning because all the flights are overbooked.,,,
aliasboogie,,,"@united I took the exact same aircraft in to LAX 3 days ago. It fit, no problem. The agent today told some nonsense about a policy change",,,
AaronGirson,,,@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways,,,
aliasboogie,,,@United never heard of this? http://t.co/QDebyaHqfM,,,
rodneyondrums,,,"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?",,,
MirandaAtx,,,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s,,,
aliasboogie,,,@united I was denied getting on the plane w/o getting the chance to prove it fits. I'm not a rookie. Read my bio.,,,
aliasboogie,,,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs,,,
zaudrey,,,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable,,,
jasonpblakey,,,@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.,,,
_Emilky_,,,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines",,,
hangsf,,,@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!,,,
AaronGirson,,,@united should NOT sell tickets for @SilverAirways on http://t.co/onhXHCO6bK.  has terrible service and UA staff cannot reach Silver,,,
mjc_collins,,,"@united Just got demoted from Gold cuz my hubby got 100% of the PQD, tho there were enuf $ spent for 4 Golds.#spousal.discrimination/angry.",,,
TuraOntheroad,,,@united Thank you!,,,
MisterDJW,,,@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.,,,
peoplesavvy,,,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0,,,
jbuhl35,,,"@united yes, after this awful weather it appears I can get home",,,
jasonpblakey,,,@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,,,
ishowman,,,@united Lovely new plane from LGA to ORD but no power outlets?,,,
rhyminanstealin,,,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?",,,
rhyminanstealin,,,@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!,,,
colbycaterina,,,@united the person is currently bettween gates 71A and 73 in LAX,,,
colbycaterina,,,@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet,,,
eadonjacobs,,,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you.",,,
cameronsmith17,,,@united thank you for the quick response but I cannot dm you until you follow me as well,,,
colbycaterina,,,@united iCloud it is not there yet -- PLEASE HELP 917 703 1472,,,
colbycaterina,,,"@united I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on",,,
mironovich,,,@united I did... no response back,,,
KelliZink,,,@united this is atrocious customer service.,,,
Portal_Aviacion,,,"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday",,,
kachampney,,,@united #albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay #poorcustomerservice,,,
KelliZink,,,@united you Cancelled Flighted our flights for no reason &amp; now we have been on the phone for AN HOUR on our vacation. Why?,,,
dfpietra,,,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology,,,
RoatanGallery,,,"@united thanks! It's 35K miles from RTB to Europe, to do a multiple destination so we could stop over in US on way/way back- mileage diff?",,,
Margo_Rae,,,@united of course I did. The bag should be here by now :( #frustrated,,,
ousoonerfanatic,,,@united you are the worst. I will avoid you like the plague.,,,
Mr_RHolmes,,,@united is the worst airline in the world.,,,
ryanaround,,,@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.,,,
ryanaround,,,@united Premier Gold desk changes flight. Waives fees. Gives me wrong flight. Now Jana Acosta in Salt Lake refuses the same service. Angry.,,,
cameronsmith17,,,"@united I will give you one thing, you are consistent but unfortunately you are consistent at not doing your job well #AlwaysDelayedOnUnited",,,
artistanxiety,,,@united I will but right now I'm to angry,,,
jasonpblakey,,,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines,,,
franciscogonima,,,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail,,,
SamuelSitt,,,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair,,,
franciscogonima,,,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around",,,
CoffeeCult448,,,@united I think DM would be better,,,
pjmartin44,,,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly,,,
tiffy_mac,,,@united you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!....,,,
pjmartin44,,,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly,,,
kevinforgoogle,,,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive..,,,
laarsNL,,,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again,,,
dfpietra,,,@united really?  Someone called in sick and then someone FORGOT to call a replacement?!  Now an hour Late Flight to take off. #theworst,,,
cristobalwong,,,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable,,,
twohlix,,,@united done,,,
cristobalwong,,,"@united Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so.",,,
jcbtdd,,,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home,,,
xRaeCatherine,,,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude.",,,
bartha75,,,"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines.",,,
TuraOntheroad,,,"@united Nope. Walked up &amp; down the ORF terminal, &amp; not a United agent to be found. Showed up @ last minute to board us. Many panicked people",,,
teamcrafty,,,@united thank you,,,
tbird12lv,,,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.,,,
cristobalwong,,,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted.",,,
itsmetsforme,,,@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!,,,
swampynomo,,,@united he has no priority and Iove it,,,
herma48852,,,@united Pleased to be a Premier Platinum,,,
PreyingMantis02,,,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.,,,
scott_fitzy,,,"@united @campilley hahaha. If they weren't an American company, i would say this was great sarcasm!!",,,
simonroesner,,,@united i think he actually did not like your screen  @campilley 😃😃😃,,,
cristobalwong,,,@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!,,,
Jim_Rehbein,,,@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService,,,
DavidAlfieWard,,,"@united hi guys, do you have a general enquires email address please? Thanks David.",,,
TheJessicaKill,,,@united Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.,,,
hooton,,,@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?,,,
KeamBleam,,,@united #UnitedAirlines Pls Fix #AspenBaggageFail issues. Had to pay my own way to #Aspen after flight Cancelled Flight. Left us in the cold in DEN.,,,
aliasboogie,,,@united Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.,,,
teamcrafty,,,@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?,,,
TRUU_Tall,,,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”,,,
Jim_Rehbein,,,@united In the process of recovering their car rental - condo rental $ in Florida. They called #United for an alternate flight #NOANSWER,,,
RoatanGallery,,,"@united I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?",,,
fredcarlton,,,@united thanks for listening! I definitely was not the only person in line who thought it was absurd.,,,
cristobalwong,,,@United We've been waiting on tarmac for &gt;1hr because apparently UA1116 is overweight &amp; we returned to gate. #WTF #fb,,,
lisaboban,,,"@united Thank you. Mention that before I boarded she asked 1other person to measure their bag, and it was another woman. Men not asked.",,,
politicsci,,,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited,,,
segallsays,,,@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.,,,
GeorgeMcflyOG,,,@United blocked me from DM'ing them because they would rather I complain about them in a public forum,,,
CigarNate,,,@united ok. I just submitted. Thanks for the opportunity to give feedback.,,,
ericsimmerman,,,@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!,,,
medictom,,,"@united I will, as soon as I am done with my article.  Thanks!  ~Tom",,,
GalbraithPeter,,,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.,,,
twohlix,,,@united We've had a ton of problems with getting our bags and have been given the run around for a day. Whats up with that?,,,
berr_a,,,@united pedophile airline. Split myself and my 10 yr old daughter rows apart on flight 1254 to boston,,,
xThePro,,,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.,,,
bdhowald,,,"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out.",,,
aliasboogie,,,@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.,,,
Nupe588,,,"@united I'm rebooked now, but the line was 300 people deep.",,,
davedittrich,,,.@united For those playing along at home: http://t.co/2b4bDTldX2,,,
